"","Country","Year","Gini_Coefficient","EU_2004","EU_2014"
"126","CYP","2009",0.99331985600697,0,1
"127","CYP","2008",0.992757325328881,0,1
"128","CYP","2007",0.992466754636864,0,1
"129","CYP","2006",0.992932808329239,0,1
"130","CYP","2005",0.992699428732716,0,1
"131","CYP","2004",0.992218314699444,0,1
"132","CYP","2003",0.993221580111817,0,1
"133","CYP","2002",0.992683633069294,0,1
"134","CYP","2001",0.992335401900886,0,1
"135","CYP","2000",0.992412142938759,0,1
"136","CZE","2014",0.989699510101373,1,1
"137","CZE","2013",0.989540168431723,1,1
"138","CZE","2012",0.989406791842544,1,1
"139","CZE","2011",0.989484772668783,1,1
"140","CZE","2010",0.98932478056955,1,1
"141","CZE","2009",0.989395716154123,1,1
"142","CZE","2008",0.989696094129692,1,1
"143","CZE","2007",0.989630768742835,1,1
"144","CZE","2006",0.989564372038404,1,1
"145","CZE","2005",0.989498624453899,1,1
"146","CZE","2004",0.988957125133992,1,1
"147","CZE","2003",0.988597538786237,1,1
"148","CZE","2002",0.989104453101273,1,1
"149","CZE","2001",0.988952606342743,1,1
"150","CZE","2000",0.988843273516006,1,1
"151","DEU","2014",0.990100713823579,0,1
"152","DEU","2013",0.990198818586106,0,1
"153","DEU","2012",0.990141274572514,0,1
"154","DEU","2011",0.990041140051577,0,1
"155","DEU","2010",0.99006521202146,0,1
"156","DEU","2009",0.989757427634371,0,1
"157","DEU","2008",0.990095006944955,0,1
"158","DEU","2007",0.990094895061166,0,1
"159","DEU","2006",0.989952267470328,0,1
"160","DEU","2005",0.989774544792571,0,1
"161","DEU","2004",0.989770168736783,0,1
"162","DEU","2003",0.989968970056157,0,1
"163","DEU","2002",0.989956210668092,0,1
"164","DEU","2001",0.990000045352666,0,1
"165","DEU","2000",0.990012479438163,0,1
"166","DNK","2014",0.989492638335845,0,1
"167","DNK","2013",0.98954337421444,0,1
"168","DNK","2012",0.989785003542061,0,1
"169","DNK","2011",0.989621984646001,0,1
"170","DNK","2010",0.989595185588763,0,1
"171","DNK","2009",0.989338196496841,0,1
"172","DNK","2008",0.989530275027602,0,1
"173","DNK","2007",0.989414887617903,0,1
"174","DNK","2006",0.989213928442164,0,1
"175","DNK","2005",0.989165215360405,0,1
"176","DNK","2004",0.989342041794888,0,1
"177","DNK","2003",0.989477082836897,0,1
"178","DNK","2002",0.9894000855055,0,1
"179","DNK","2001",0.989339114244532,0,1
"180","DNK","2000",0.989011425870738,0,1
"181","ESP","2014",0.98972353419994,0,1
"182","ESP","2013",0.989600343151518,0,1
"183","ESP","2012",0.989009272567054,0,1
"184","ESP","2011",0.988758294444155,0,1
"185","ESP","2010",0.988861807017827,0,1
"186","ESP","2009",0.988954129993967,0,1
"187","ESP","2008",0.990010491081965,0,1
"188","ESP","2007",0.989840674953941,0,1
"189","ESP","2006",0.989712395543212,0,1
"190","ESP","2005",0.989689418096838,0,1
"191","ESP","2004",0.989514327716463,0,1
"192","ESP","2003",0.989529368847559,0,1
"193","ESP","2002",0.989552954785622,0,1
"194","ESP","2001",0.989618506045277,0,1
"195","ESP","2000",0.989633525544283,0,1
"196","EST","2014",0.989977006132928,1,1
"197","EST","2013",0.989776179055286,1,1
"198","EST","2012",0.989865574981963,1,1
"199","EST","2011",0.990121637637585,1,1
"200","EST","2010",0.989916134585114,1,1
"201","EST","2009",0.990133316737524,1,1
