"","Country","Year","Gini_Coefficient","EU_2004","EU_2014"
"126","CYP","2009",0.863586195652367,0,1
"127","CYP","2008",0.842168783840848,0,1
"128","CYP","2007",0.859064448323237,0,1
"129","CYP","2006",0.863397585337728,0,1
"130","CYP","2005",0.86345285935117,0,1
"131","CYP","2004",0.873935840363771,0,1
"132","CYP","2003",0.871169129389184,0,1
"133","CYP","2002",0.909071036715055,0,1
"134","CYP","2001",0.910735312713672,0,1
"135","CYP","2000",0.905200426681198,0,1
"136","CZE","2014",0.841466593970552,1,1
"137","CZE","2013",0.842082353660005,1,1
"138","CZE","2012",0.838059179481459,1,1
"139","CZE","2011",0.841189425876843,1,1
"140","CZE","2010",0.83961719053837,1,1
"141","CZE","2009",0.840395063255678,1,1
"142","CZE","2008",0.851277611496408,1,1
"143","CZE","2007",0.847842808394216,1,1
"144","CZE","2006",0.846126869798512,1,1
"145","CZE","2005",0.847016636436516,1,1
"146","CZE","2004",0.845371705536375,1,1
"147","CZE","2003",0.850044259280445,1,1
"148","CZE","2002",0.855718211203287,1,1
"149","CZE","2001",0.860714850389073,1,1
"150","CZE","2000",0.861784011048525,1,1
"151","DEU","2014",0.781819056829841,0,1
"152","DEU","2013",0.778965797057596,0,1
"153","DEU","2012",0.781387838334198,0,1
"154","DEU","2011",0.780599873883374,0,1
"155","DEU","2010",0.777761185991497,0,1
"156","DEU","2009",0.773290980307723,0,1
"157","DEU","2008",0.777675569596531,0,1
"158","DEU","2007",0.779747607557418,0,1
"159","DEU","2006",0.776939360755085,0,1
"160","DEU","2005",0.773974787624302,0,1
"161","DEU","2004",0.776313667281677,0,1
"162","DEU","2003",0.777078033406377,0,1
"163","DEU","2002",0.779930777153744,0,1
"164","DEU","2001",0.782594982530224,0,1
"165","DEU","2000",0.782490916512688,0,1
"166","DNK","2014",0.840056255914222,0,1
"167","DNK","2013",0.844743456320377,0,1
"168","DNK","2012",0.847603235521843,0,1
"169","DNK","2011",0.842438774549801,0,1
"170","DNK","2010",0.838670668740351,0,1
"171","DNK","2009",0.834721957002242,0,1
"172","DNK","2008",0.848778713349093,0,1
"173","DNK","2007",0.84212604687906,0,1
"174","DNK","2006",0.842139009364844,0,1
"175","DNK","2005",0.840421951226339,0,1
"176","DNK","2004",0.848301683296644,0,1
"177","DNK","2003",0.847670661653275,0,1
"178","DNK","2002",0.841672609721993,0,1
"179","DNK","2001",0.841248149779801,0,1
"180","DNK","2000",0.844563594198084,0,1
"181","ESP","2014",0.848354903702598,0,1
"182","ESP","2013",0.848185653687617,0,1
"183","ESP","2012",0.83970240183629,0,1
"184","ESP","2011",0.838506542482646,0,1
"185","ESP","2010",0.836694242047065,0,1
"186","ESP","2009",0.832474529883062,0,1
"187","ESP","2008",0.831199513908759,0,1
"188","ESP","2007",0.831635989885191,0,1
"189","ESP","2006",0.830821155720675,0,1
"190","ESP","2005",0.834897344452841,0,1
"191","ESP","2004",0.832771245467957,0,1
"192","ESP","2003",0.834280558156649,0,1
"193","ESP","2002",0.838125246121212,0,1
"194","ESP","2001",0.83703250472243,0,1
"195","ESP","2000",0.840440003140622,0,1
"196","EST","2014",0.845855147429211,1,1
"197","EST","2013",0.843997859816106,1,1
"198","EST","2012",0.845723534212084,1,1
"199","EST","2011",0.843771544115012,1,1
"200","EST","2010",0.84425869954563,1,1
"201","EST","2009",0.834787310528024,1,1
"202","EST","2008",0.839838224474896,1,1
"203","EST","2007",0.837252445315476,1,1
"204","EST","2006",0.844128617349244,1,1
